Libéllé Département;Nom Famille;Code Produit;Code Coloris;Nom Produit;E-COMMERCE AXE 1;E-COMMERCE AXE 2;E-COMMERCE AXE 3;E-COMMERCE AXE 4;Marque;Theme;Libellé Court
FEMME;PANTALON ETE                  ;77430049;10;* TRIPLCOATED;;;;;AFFINITES;KALINKA;PANTALON DETENTE
FEMME;BIJOUTERIE                    ;77520009;40;PONDICABO;;;;;AFFINITES;;COLLIER EMAIL
FEMME;FOULARD ECHARPE               ;77530011;45;RAYEPIO;;;;;AFFINITES;;ETOLE FANTAISIE
FEMME;VESTE ETE ML                  ;76879002;10;MATELACHAINE;;;;;AT FEMME;PASHMINA;VESTE MATELASSEE DETENTE
FEMME;T SHIRT MC                    ;77130011;64;BASIC/STUDS;;;;;AFFINITES;KALINKA;TEE SHIRT UNI FANTAISIE
FEMME;T SHIRT MC;77140009;26;ND/CREPE;;;;;AFFINITES;IPANEMA;TEE SHIRT FANTAISIE
FEMME;T SHIRT MC;77140052;80;MISSO/KIMO;;;;;AFFINITES;IPANEMA;TEE SHIRT FANTAISIE
FEMME;JUPE VILLE                    ;77319001;40;* JSIMILICUIR;;;;;AT FEMME;PONDICHERY;JUPE SIMILICUIR
FEMME;JUPE VILLE                    ;77319010;41;TOLEDA UNIE;;;;;AT FEMME;;JUPE DETENTE
FEMME;PANTALON ETE                  ;77430015;41;TIPEE PEACH;;;;;AFFINITES;PONDICHERY;PANTALON DETENTE AVEC CEINTURE
FEMME;BIJOUTERIE                    ;77520028;40;S/PIONNIER;;;;;AFFINITES;;SAUTOIR VERRE
FEMME;FOULARD ECHARPE               ;77530013;40;MAILLE BRODE;;;;;AFFINITES;;FOULARD FANTAISIE
FEMME;FOULARD ECHARPE               ;77530022;04;SILVER;;;;;AFFINITES;;ETOLE UNIE
FEMME;ACCESSOIRE AUTRE              ;77709002;14;PINCE/1 FLEUR;;;;;AT FEMME;;PEIGNE A CHEVEUX
FEMME;T SHIRT ML                    ;77110013;13;BOTANIQUE;;;;;AFFINITES;MONSOON;TEE SHIRT FANTAISIE
FEMME;BIJOUTERIE                    ;77520021;14;S/ELEPHSTRASS;;;;;AFFINITES;;SAUTOIR FANTAISIE
FEMME;FOULARD ECHARPE               ;77530003;26;LEO;;;;;AFFINITES;;FOULARD IMPRIME
FEMME;ACCESSOIRE AUTRE              ;77709004;13;S/PYTHON;;;;;AT FEMME;;SAC PEAU DE BETE
FEMME;BIJOUTERIE                    ;77520008;10;S/ZEBRE;;;;;AFFINITES;;SAUTOIR VERRE
FEMME;BIJOUTERIE                    ;77520042;65;S/FEUILLE;;;;;AFFINITES;;SAUTOIR METAL
